ds,actual,yhat,yhat_lower,yhat_upper
2023-04-01,3854940.0,4055553.243206462,3841355.5004996634,4292522.1778556565
2023-05-01,4193693.0,4114725.407219176,3859677.632088269,4356491.399606647
2023-06-01,4066172.0,3998037.4375574025,3762649.8680970212,4246380.577436189
2023-07-01,3997318.0,3921128.5983780324,3702687.197505217,4150791.32264043
2023-08-01,3951443.0,3920700.529806653,3704340.2322099726,4145647.680382708
2023-09-01,3963158.0,4152424.3819743353,3916242.5448698066,4381972.351686964
2023-10-01,5174805.0,5366050.477545969,5060996.102442415,5669958.349876193
2023-11-01,7400984.0,7168510.003939545,6762610.455161918,7610341.415515087
2023-12-01,5694166.0,5769206.518434697,5452359.23298135,6115524.603507962
2024-01-01,4173183.0,4206298.9209699305,3974132.372484661,4450120.412267667
2024-02-01,4036320.0,4000770.281695765,3764007.289516865,4244032.132549284
2024-03-01,4224488.0,3996952.1752636074,3759342.1017603506,4239652.930616059
2024-04-01,3913649.0,4203519.7567197485,3981671.4489994394,4462431.406755837
2024-05-01,4603248.0,4471953.449323797,4231118.4329983285,4731513.602571912
2024-06-01,3990198.0,4072515.9861992933,3855054.8599617146,4308542.949545209
2024-07-01,3725014.0,3997548.5009761606,3782522.8170066862,4238368.362020189
2024-08-01,4293750.0,4028179.024551442,3805099.6312107374,4279581.915977558
2024-09-01,4185897.0,4298078.286859873,4053218.5710258507,4534503.946183084
2024-10-01,6719430.0,6431027.545664039,6065358.984629864,6804780.838800424
2024-11-01,5798044.0,5851678.86023733,5515106.471223555,6192800.47249314
2024-12-01,6223796.0,6059651.588773737,5731741.120702324,6450488.422523431
2025-01-01,4314207.0,4444357.207272581,4190884.188478569,4722538.200598221
2025-02-01,4178700.0,4257381.491947582,4012739.9541077046,4529701.683776931
2025-03-01,4484005.0,4276554.266437845,4024141.0424443753,4540962.011895683
2025-04-01,4909040.0,4827534.651487689,4553117.767374344,5103622.060462603
2025-05-01,4409362.0,4495972.885500492,4229126.221051822,4760253.999967401
2025-06-01,4164794.0,4353335.118206136,4113202.712504694,4602030.33902899
2025-07-01,4398030.0,4256813.184140534,4022319.0075869206,4516610.63250129
2025-08-01,4167180.0,4246077.851745652,4010955.709047342,4502032.158641946
2025-09-01,4603709.0,4485270.166526354,4234722.652490542,4755821.285533204
2025-10-01,7855242.0,7627374.272331109,7217782.387537699,8058461.029371345
2025-11-01,5105085.0,4957184.459060564,4684965.015277224,5252362.734325791
2025-12-01,5766612.0,6153039.933447957,5791083.041289043,6520235.959605234
2026-01-01,,4538639.457532322,4289688.066817293,4805235.114098286
2026-02-01,,4238530.227411467,4014885.7551601715,4484013.564572377
2026-03-01,,4366571.753386324,4127893.9366977206,4617862.087412808
2026-04-01,,4425917.011910218,4198047.409135321,4718132.2852364285
2026-05-01,,4405617.4018456815,4164771.429579496,4681384.024722138
2026-06-01,,4337696.990575002,4098405.1729559978,4601409.155938427
2026-07-01,,4124573.3892234103,3894296.6543206763,4374212.193542836
2026-08-01,,4293726.570167265,4055291.0487376805,4572891.5419889465
2026-09-01,,4298592.763988031,4039506.473022169,4562648.422878116
2026-10-01,,7801157.913802134,7312944.285768077,8281057.814246485
2026-11-01,,7252590.773451409,6825112.711375302,7760007.6443628315
2026-12-01,,6016461.744185041,5611068.178751508,6444685.717022098
2027-01-01,,4329950.1333756745,4058220.6737641664,4631497.107465612
2027-02-01,,4142977.2487022863,3859189.140687506,4449931.178994871
2027-03-01,,4164573.1355289654,3876513.4396727337,4494044.3419527
2027-04-01,,4296811.134980873,3978701.178987979,4627013.588275018
2027-05-01,,4338807.873949041,3995736.6993621117,4684615.282813171
2027-06-01,,4203477.889015483,3870321.914100796,4558559.216936303
2027-07-01,,4032015.280873601,3737063.7189081237,4382644.337140042
2027-08-01,,4018061.944609655,3666704.570224473,4406902.254692668
2027-09-01,,4241276.259340637,3837789.0050348463,4654942.881248565
2027-10-01,,4549603.6083950065,4134777.8722681315,5009048.8394221645
2027-11-01,,4693393.2166329855,4219426.4235955905,5189254.505413529
2027-12-01,,4536191.838971641,4063782.959646394,5043334.024022769
