ds,actual,yhat,yhat_lower,yhat_upper
2024-02-01,20862711.0,20403931.978907995,19100331.95959608,21748138.901193537
2024-03-01,21757329.0,20407980.71303752,19190999.692135885,21814730.309061855
2024-04-01,19996133.0,21568910.327655487,20267346.06048584,22954053.343071595
2024-05-01,23477661.0,22847907.91223152,21446767.369031735,24196767.60974072
2024-06-01,20034575.0,20732810.493631244,19513849.234464988,22069035.572626114
2024-07-01,18829479.0,20405034.364947304,19134725.622773215,21676876.32349338
2024-08-01,22053854.0,20615463.38219732,19445944.12435668,21910086.623455122
2024-09-01,21744014.0,22038157.450391162,20759961.934940897,23409573.573006656
2024-10-01,34887756.0,33532006.108999703,31495659.263471246,35955922.05481914
2024-11-01,30232460.0,30382684.02933174,28544517.422799997,32252366.30974133
2024-12-01,31630937.0,30860039.759919714,29044509.83668247,33088413.789134987
2025-01-01,22222979.0,22741379.643064532,21375976.1165099,24226219.436410315
2025-02-01,21257206.0,21805957.289753523,20485935.986229695,23163290.30242461
2025-03-01,22870435.0,21940561.042168252,20577603.500378907,23297847.838741273
2025-04-01,25530119.0,25049839.977601796,23490872.24593541,26691514.08094778
2025-05-01,22320127.0,23020023.741378978,21651601.7839358,24443455.461521443
2025-06-01,21783364.0,22291640.32147529,20890891.457907435,23654735.42364016
2025-07-01,22383618.0,21810080.704265717,20594007.234451395,23177562.352620557
2025-08-01,21335217.0,21856434.142093144,20574257.81284721,23290692.76375927
2025-09-01,23907021.0,23178434.77072238,21714531.34224824,24738218.891352296
2025-10-01,41047718.0,39534010.21462639,37212684.26641579,41988456.7020735
2025-11-01,26430658.0,25638997.588843994,24117586.540784504,27293576.22121625
2025-12-01,29488976.0,31771402.71730268,29963194.96360773,34017144.98004658
2026-01-01,,23754503.625934258,22396716.71706368,25311451.27082573
2026-02-01,,22101110.67442108,20772908.17712823,23529340.863920517
2026-03-01,,22955283.59812613,21511347.339995533,24304786.62880644
2026-04-01,,23255579.22538221,21774592.803824294,24752758.352831956
2026-05-01,,23181514.884686913,21700052.6331425,24764114.563523777
2026-06-01,,22652207.78742934,21163324.550158203,24151095.85934806
2026-07-01,,21628827.513738967,20337421.824637875,23096725.101515878
2026-08-01,,22692328.11373554,21250743.74650321,24225662.141061787
2026-09-01,,22749107.329390958,21187135.61276049,24452434.760963403
2026-10-01,,40174267.78125012,37518416.14094049,43090139.82142325
2026-11-01,,39407119.862306625,36714163.80922006,42313809.46643695
2026-12-01,,31748837.633162394,29424658.34195513,34175210.082381204
2027-01-01,,22980556.14128214,21304176.358783957,24769179.49559616
2027-02-01,,22077071.304460194,20390894.015134376,23933602.111986242
2027-03-01,,22256986.74507573,20595669.63638042,24332109.917251054
2027-04-01,,22983248.360563315,21269815.864004277,25111896.90116496
2027-05-01,,23189423.149592847,21165685.647129484,25244042.853238635
2027-06-01,,22467300.559658777,20393852.2057439,24727638.296433672
2027-07-01,,21607582.40018354,19607263.242604736,23852919.661534
2027-08-01,,21632867.892053578,19373099.780289285,24212569.209681984
2027-09-01,,22925151.739901215,20557273.33913368,25563315.033183835
2027-10-01,,24625390.736706316,21900519.34209686,27783655.003947664
2027-11-01,,25391984.778485578,22451226.677135587,28673369.436822716
2027-12-01,,24544082.212923285,21638775.93265319,28148011.915288754
